Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
callTestCase,Chrome 66.0.3359.181,,2018-05-24 14:49:31,2018-05-24 14:49:35,4.820s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-05-24 14:49:35,2018-05-24 14:49:36,0.322s,PASSED
"Statement - Price = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""Only "", Vtr1])",Chrome 66.0.3359.181,,2018-05-24 14:49:36,2018-05-24 14:49:36,0.001s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:36,2018-05-24 14:49:36,0.446s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:49:36,2018-05-24 14:49:36,0.090s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-05-24 14:49:36,2018-05-24 14:49:41,4.687s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-05-24 14:49:41,2018-05-24 14:49:41,0.078s,PASSED
verifyTextPresent,Chrome 66.0.3359.181,,2018-05-24 14:49:41,2018-05-24 14:49:41,0.196s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:41,2018-05-24 14:49:41,0.045s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:41,2018-05-24 14:49:41,0.040s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:49:41,2018-05-24 14:49:42,1.084s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:49:42,2018-05-24 14:49:43,0.063s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:43,2018-05-24 14:49:43,0.080s,PASSED
verifyElementAttributeValue,Chrome 66.0.3359.181,,2018-05-24 14:49:43,2018-05-24 14:49:43,0.037s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:43,2018-05-24 14:49:43,0.037s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 14:49:43,2018-05-24 14:49:44,1.340s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:44,2018-05-24 14:49:44,0.062s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:44,2018-05-24 14:49:44,0.046s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:44,2018-05-24 14:49:44,0.050s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-24 14:49:44,2018-05-24 14:49:45,0.674s,PASSED
,,,,,,
Test Cases/Salesman - BuyVtrCaDealer,Chrome 66.0.3359.181,,2018-05-24 14:49:45,2018-05-24 14:50:08,22.693s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-24 14:49:45,2018-05-24 14:49:48,2.279s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-24 14:49:48,2018-05-24 14:49:49,1.170s,PASSED
"Statement - OrderURL = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([StagingReact, SalesmanURL, ""order/""])",Chrome 66.0.3359.181,,2018-05-24 14:49:49,2018-05-24 14:49:49,0.003s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 14:49:49,2018-05-24 14:49:52,3.097s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:49:52,2018-05-24 14:49:52,0.068s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:52,2018-05-24 14:49:52,0.045s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:52,2018-05-24 14:49:52,0.044s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:52,2018-05-24 14:49:52,0.053s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:49:52,2018-05-24 14:49:52,0.231s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:49:52,2018-05-24 14:49:52,0.109s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:49:52,2018-05-24 14:49:53,0.676s,PASSED
verifyElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:49:53,2018-05-24 14:49:53,0.037s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:49:53,2018-05-24 14:49:53,0.183s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:49:53,2018-05-24 14:49:53,0.045s,PASSED
Statement - now = new java.util.Date(),Chrome 66.0.3359.181,,2018-05-24 14:49:53,2018-05-24 14:49:53,0.001s,PASSED
"Statement - rnd = now.format(""yyyyMMddHHmmssSSS"").toString()",Chrome 66.0.3359.181,,2018-05-24 14:49:53,2018-05-24 14:49:53,0.000s,PASSED
"Statement - Email = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""salesman"", rnd, ""@mailinator.com""])",Chrome 66.0.3359.181,,2018-05-24 14:49:53,2018-05-24 14:49:53,0.138s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-24 14:49:53,2018-05-24 14:49:58,4.797s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-05-24 14:49:58,2018-05-24 14:49:59,0.291s,PASSED
"Statement - Price = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""Only "", Vtr1])",Chrome 66.0.3359.181,,2018-05-24 14:49:59,2018-05-24 14:49:59,0.001s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:49:59,2018-05-24 14:49:59,0.059s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:49:59,2018-05-24 14:49:59,0.511s,PASSED
waitForElementPresent,Chrome 66.0.3359.181,,2018-05-24 14:49:59,2018-05-24 14:50:04,4.671s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-05-24 14:50:04,2018-05-24 14:50:04,0.049s,PASSED
verifyTextPresent,Chrome 66.0.3359.181,,2018-05-24 14:50:04,2018-05-24 14:50:04,0.191s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:04,2018-05-24 14:50:04,0.074s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:04,2018-05-24 14:50:04,0.038s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:50:04,2018-05-24 14:50:05,1.307s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:50:05,2018-05-24 14:50:05,0.056s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:05,2018-05-24 14:50:06,0.045s,PASSED
verifyElementAttributeValue,Chrome 66.0.3359.181,,2018-05-24 14:50:06,2018-05-24 14:50:06,0.035s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:06,2018-05-24 14:50:06,0.032s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 14:50:06,2018-05-24 14:50:07,1.182s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:07,2018-05-24 14:50:07,0.049s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:07,2018-05-24 14:50:07,0.044s,PASSED
closeBrowser,Chrome 66.0.3359.181,,2018-05-24 14:50:07,2018-05-24 14:50:08,0.687s,PASSED
,,,,,,
Test Cases/Salesman - BuyVTRConsumer,Chrome 66.0.3359.181,,2018-05-24 14:50:08,2018-05-24 14:50:30,22.441s,PASSED
openBrowser,Chrome 66.0.3359.181,,2018-05-24 14:50:08,2018-05-24 14:50:10,2.311s,PASSED
maximizeWindow,Chrome 66.0.3359.181,,2018-05-24 14:50:10,2018-05-24 14:50:11,1.152s,PASSED
"Statement - OrderURL = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([StagingReact, SalesmanURL, ""order/""])",Chrome 66.0.3359.181,,2018-05-24 14:50:11,2018-05-24 14:50:11,0.001s,PASSED
navigateToUrl,Chrome 66.0.3359.181,,2018-05-24 14:50:11,2018-05-24 14:50:14,2.805s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:50:14,2018-05-24 14:50:14,0.048s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:14,2018-05-24 14:50:14,0.050s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:14,2018-05-24 14:50:14,0.044s,PASSED
verifyElementText,Chrome 66.0.3359.181,,2018-05-24 14:50:14,2018-05-24 14:50:14,0.044s,PASSED
setText,Chrome 66.0.3359.181,,2018-05-24 14:50:14,2018-05-24 14:50:15,0.247s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:50:15,2018-05-24 14:50:15,0.093s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:50:15,2018-05-24 14:50:15,0.702s,PASSED
verifyElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:50:15,2018-05-24 14:50:15,0.040s,PASSED
click,Chrome 66.0.3359.181,,2018-05-24 14:50:15,2018-05-24 14:50:16,0.196s,PASSED
waitForElementVisible,Chrome 66.0.3359.181,,2018-05-24 14:50:16,2018-05-24 14:50:16,0.064s,PASSED
Statement - now = new java.util.Date(),Chrome 66.0.3359.181,,2018-05-24 14:50:16,2018-05-24 14:50:16,0.000s,PASSED
"Statement - rnd = now.format(""yyyyMMddHHmmssSSS"").toString()",Chrome 66.0.3359.181,,2018-05-24 14:50:16,2018-05-24 14:50:16,0.001s,PASSED
"Statement - Email = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.concatenate([""salesman"", rnd, ""@mailinator.com""])",Chrome 66.0.3359.181,,2018-05-24 14:50:16,2018-05-24 14:50:16,0.145s,PASSED
callTestCase,Chrome 66.0.3359.181,,2018-05-24 14:50:16,2018-05-24 14:50:21,4.796s,PASSED
waitForElementClickable,Chrome 66.0.3359.181,,2018-05-24 14:50:21,2018-05-24 14:50:21,0.381s,PASSED
